response.time.s,throughput,mips
0.37,1.10,2.96
0.19,10.10,54.01
1.57,0.20,0.13
0.08,24.30,296.34
0.28,4.20,14.74
0.37,6.90,18.68
0.11,27.30,243.75
3.77,1.40,0.37
0.12,19.30,160.83
0.17,19.30,110.92
0.15,3.80,24.98
0.09,21.80,242.22
0.41,8.90,21.52
0.14,4.80,35.20
0.14,12.60,89.41
0.12,14.00,117.65
0.17,12.20,72.19
0.13,12.70,100.79
0.27,3.40,12.73
0.21,22.40,108.74
0.07,10.70,150.26
0.21,2.70,12.68
0.24,7.10,29.11
0.17,14.90,85.63
0.11,9.40,89.10
0.10,1.20,11.62
0.21,1.20,5.63
0.63,4.30,6.86
0.36,7.50,21.02
0.21,8.80,41.85
0.19,8.80,47.17
0.30,8.20,27.26
0.14,25.30,175.69
0.24,1.30,5.41
1.07,3.10,2.89
0.11,27.60,250.91
0.25,15.80,64.23
0.06,22.50,400.36
0.31,2.80,9.02
0.18,7.60,43.30
0.18,8.90,49.08
4.10,0.80,0.19
0.11,30.00,277.78
0.21,6.40,30.79
0.14,5.60,39.77
0.21,15.50,75.10
0.07,26.40,406.15
0.08,2.30,28.51
0.87,5.60,6.42
0.08,21.60,257.14
0.29,1.10,3.80
1.15,1.70,1.48
0.22,1.50,6.96
0.14,6.20,44.44
0.21,1.30,6.32
0.20,12.70,62.25
0.26,10.10,38.65
0.64,4.80,7.54
2.28,2.40,1.05
0.35,2.60,7.51
0.21,2.50,12.09
0.22,1.50,6.89
0.13,8.00,60.00
0.38,9.60,25.38
0.30,14.90,49.83
0.44,7.00,15.91
0.19,5.50,29.57
0.22,14.20,64.20
0.15,14.40,96.85
0.22,1.70,7.70
0.36,7.30,20.43
0.12,7.40,61.67
0.53,4.90,9.20
0.05,21.60,440.82
0.52,6.90,13.17
0.24,1.20,5.10
0.11,17.90,169.67
0.31,6.00,19.43
0.34,5.60,16.56
2.51,6.00,2.39
0.19,20.90,111.17
0.16,2.00,12.22
0.09,28.00,307.69
0.12,15.80,132.22
0.24,3.60,15.24
4.76,2.40,0.50
0.12,6.90,55.35
0.41,5.40,13.07
0.12,1.40,11.91
0.28,19.40,69.04
0.15,2.40,16.48
0.30,1.30,4.35
0.36,1.20,3.35
0.06,5.00,87.72
0.22,1.60,7.42
0.36,2.00,5.63
0.17,16.70,100.30
0.08,35.90,437.80
0.36,4.70,13.20
0.27,19.20,72.18
0.16,3.00,19.05
0.33,25.00,75.53
0.25,5.90,23.85
0.14,15.40,111.59
0.25,1.70,6.79
1.01,1.30,1.28
0.46,7.20,15.68
0.23,4.00,17.74
0.22,15.00,68.00
0.33,8.50,26.05
0.30,6.30,21.29
0.35,2.50,7.08
0.19,12.30,63.51
0.54,14.50,26.95
0.12,4.90,40.83
0.25,4.20,16.70
0.32,18.40,58.04
0.18,2.00,10.85
0.25,8.40,33.76
0.37,2.70,7.27
0.36,8.40,23.14
0.41,5.90,14.30
0.15,13.00,88.24
0.21,18.10,87.86
0.38,3.50,9.15
0.23,10.40,44.95
0.22,14.10,64.80
0.16,6.80,42.63
0.05,20.70,449.51
0.33,4.40,13.17
0.07,13.70,206.02
0.25,8.50,34.14
0.31,5.70,18.64
0.13,18.40,146.03
0.17,12.70,73.13
0.07,25.10,374.63
0.23,14.80,64.86
0.36,10.30,28.89
0.16,20.10,126.57
0.31,24.60,78.34
0.22,10.80,48.25
0.61,3.30,5.44
0.12,4.10,33.88
0.15,7.80,52.00
0.94,2.40,2.55
2.48,5.60,2.26
0.04,7.80,173.45
0.19,9.80,51.56
0.19,5.30,27.25
0.21,29.00,140.10
0.11,35.70,336.79
0.08,19.10,240.71
0.08,6.50,78.85
1.62,3.10,1.91
0.14,10.00,72.20
0.25,7.00,27.92
1.42,2.10,1.48
0.09,9.00,96.26
0.15,1.20,8.09
4.99,1.60,0.32
0.21,6.90,32.59
0.16,15.50,97.98
0.08,17.10,216.95
0.32,2.00,6.34
0.15,0.10,0.66
0.12,3.00,25.50
0.36,27.00,75.42
0.15,9.40,64.16
0.08,2.80,34.57
0.64,5.40,8.40
1.07,1.90,1.78
0.85,3.90,4.58
0.58,6.00,10.35
0.11,15.10,138.53
0.49,9.20,18.59
0.31,3.80,12.37
0.13,1.90,14.59
0.77,4.40,5.75
0.15,5.50,36.40
0.10,14.10,140.21
0.11,24.90,227.40
0.05,21.00,396.23
0.56,2.60,4.62
0.08,5.50,71.03
0.21,1.40,6.80
0.13,2.30,17.36
0.31,4.50,14.56
0.04,13.50,317.65
0.23,1.60,6.93
0.22,14.60,66.12
0.33,23.90,72.64
0.23,1.40,6.00
0.21,12.70,61.50
0.11,17.70,163.89
0.22,7.80,36.13
0.32,10.60,33.06
0.32,26.20,83.17
0.12,4.20,35.72
0.21,15.10,71.68
0.40,5.60,13.98
0.13,2.10,16.54
0.28,4.20,15.24
0.22,8.50,38.21
0.04,19.80,495.00
0.27,17.20,64.18
0.18,13.80,78.41
0.16,23.30,147.47
0.29,10.40,35.99
0.57,4.60,8.05
0.48,7.80,16.08
0.07,18.30,269.12
0.09,20.70,240.70
0.13,6.40,49.81
0.08,17.80,213.66
0.14,28.80,200.00
0.12,7.10,57.11
0.13,8.70,66.03
0.21,11.80,55.49
0.11,33.30,311.21
0.34,19.70,58.46
0.21,4.00,18.74
0.41,12.00,29.03
0.17,27.00,163.64
0.23,3.40,15.06
0.53,8.80,16.57
0.06,27.30,478.95
0.50,4.90,9.73
0.90,4.80,5.35
0.04,15.20,353.49
0.25,1.90,7.55
0.21,3.30,15.89
0.32,15.20,48.25
0.32,2.80,8.83
0.11,29.90,274.31
0.20,2.00,9.80
0.22,11.70,53.79
0.17,13.20,76.30
0.10,9.20,90.20
0.08,16.80,216.77
0.31,1.80,5.77
1.94,3.40,1.76
0.54,3.60,6.68
0.33,3.70,11.26
0.19,8.00,41.37
0.25,16.80,67.88
0.48,6.60,13.70
1.69,1.00,0.59
0.28,13.50,48.91
0.53,7.20,13.65
0.28,12.50,44.96
0.56,2.30,4.09
0.34,2.30,6.85
0.25,1.90,7.71
0.39,11.00,28.19
0.30,6.00,19.85
0.11,13.30,116.08
0.14,10.70,76.98
0.12,2.10,16.84
0.06,28.60,484.75
0.08,7.10,89.87
0.17,4.50,27.27
0.22,9.90,45.72
0.11,13.30,123.78
4.85,1.70,0.35
0.32,9.90,31.34
0.18,14.00,79.77
3.20,1.50,0.47
0.13,8.40,65.88
0.30,4.00,13.29
0.18,20.20,113.48
0.22,1.30,5.97
0.54,20.30,37.52
0.18,3.20,17.34
0.37,5.40,14.43
2.10,5.10,2.43
0.19,1.50,7.85
0.25,3.80,15.43
0.13,4.80,36.32
0.20,2.30,11.48
0.25,8.10,32.53
0.14,20.90,150.36
0.21,1.60,7.53
0.24,2.30,9.67
0.12,26.90,216.94
0.30,13.00,42.79
0.15,9.20,60.01
0.31,2.40,7.74
0.17,7.50,43.08
0.12,8.70,75.65
0.31,14.30,45.54
0.18,34.40,193.26
0.06,24.30,376.74
0.27,1.50,5.61
0.22,1.10,5.03
0.34,23.20,67.44
0.23,2.60,11.11
0.15,8.30,56.08
0.29,7.60,26.07
0.10,1.10,10.58
1.67,3.90,2.34
0.29,1.30,4.47
0.54,10.20,18.96
0.28,2.30,8.14
0.20,3.70,18.78
0.16,4.70,29.94
0.12,7.50,60.98
0.64,6.80,10.69
0.18,10.80,59.88
3.16,2.30,0.73
0.20,5.80,29.66
0.28,4.00,14.30
0.17,1.50,8.91
0.07,23.80,323.81
0.18,8.40,46.99
1.26,2.90,2.30
0.26,13.70,53.47
0.15,1.90,13.01
0.07,21.90,307.76
0.46,6.80,14.89
0.36,16.80,46.93
0.17,3.00,17.25
0.42,9.70,23.04
0.32,3.90,12.22
0.33,7.10,21.65
0.10,28.30,297.89
0.96,11.10,11.53
0.15,10.70,73.04
0.30,26.50,88.93
0.24,6.10,25.15
0.18,12.10,67.22
0.06,40.10,703.51
0.10,34.20,332.04
0.20,1.90,9.30
1.28,8.20,6.39
0.10,13.30,137.82
0.19,9.40,48.31
0.19,11.80,62.66
0.35,16.90,48.77
0.15,18.10,120.53
0.63,2.10,3.34
0.07,22.60,324.20
1.00,14.00,14.06
0.14,24.60,180.88
0.37,4.40,11.81
0.22,14.60,64.95
2.99,2.40,0.80
0.14,18.20,130.94
0.21,0.90,4.22
0.16,20.10,123.31
0.30,13.50,44.29
0.17,2.60,14.88
0.21,16.20,77.29
0.16,20.20,126.65
0.32,23.90,73.99
0.18,4.70,25.44
0.11,30.70,281.65
0.51,10.40,20.31
0.25,20.60,81.75
0.23,2.20,9.77
0.12,24.50,209.40
0.17,9.20,53.65
0.24,6.40,26.88
0.38,5.10,13.47
0.12,7.00,56.91
0.40,15.00,37.13
0.33,5.10,15.59
0.14,16.90,117.36
0.29,7.90,27.71
0.25,13.10,51.98
0.28,3.20,11.52
0.25,3.40,13.42
0.11,28.40,251.33
0.19,1.00,5.30
0.33,7.80,23.60
0.21,1.50,7.06
0.14,16.60,116.08
0.12,13.60,111.56
0.25,8.00,32.52
0.13,18.90,149.53
0.25,1.90,7.48
0.04,2.10,55.26
0.11,8.50,78.83
0.45,13.80,30.80
0.17,8.70,50.68
0.13,4.50,34.53
0.30,26.90,88.78
4.10,4.70,1.15
0.15,17.10,115.54
0.44,8.60,19.63
0.30,3.40,11.29
0.26,10.70,41.39
0.07,31.60,486.15
0.07,5.60,86.15
0.39,7.50,19.07
0.28,0.90,3.21
0.12,9.20,79.09
0.04,21.30,575.68
0.14,11.80,85.09
0.11,11.30,99.12
0.19,1.70,9.03
0.04,7.60,177.99
0.34,0.70,2.07
4.74,0.80,0.17
0.13,21.30,169.72
3.44,1.60,0.47
1.92,3.00,1.56
0.24,9.10,37.88
0.08,16.30,193.47
0.19,21.00,109.95
0.41,7.90,19.50
0.51,12.60,24.73
0.30,0.90,3.02
0.08,2.90,36.07
0.22,15.60,70.33
0.25,5.20,20.71
0.63,13.10,20.73
0.37,10.40,27.81
0.37,4.30,11.48
0.79,4.50,5.71
0.30,27.40,91.95
0.36,19.20,52.89
0.08,41.20,502.44
0.56,13.40,23.74
0.47,10.20,21.57
0.35,4.40,12.63
0.75,7.40,9.87
0.13,26.80,200.00
0.12,22.60,186.78
0.19,1.10,5.79
0.30,27.20,90.67
0.24,4.20,17.28
0.38,7.30,19.38
0.24,4.30,18.12
0.30,3.40,11.20
0.09,12.00,139.10
0.23,15.50,68.40
0.23,11.00,47.64
0.13,15.90,122.94
0.34,4.50,13.31
0.29,2.90,9.99
0.18,29.20,160.44
0.07,41.00,611.94
0.15,17.70,116.02
0.84,7.00,8.31
0.28,3.30,11.61
0.08,36.30,453.75
0.17,15.10,86.29
0.11,13.00,121.76
0.20,30.00,150.00
0.15,7.90,52.11
0.26,13.90,54.00
0.19,11.40,61.29
0.38,1.90,4.94
0.23,6.90,30.31
0.21,17.10,80.28
0.24,1.90,7.90
1.04,3.80,3.67
0.08,33.30,432.47
0.12,11.00,94.02
0.10,34.70,343.56
0.21,2.40,11.63
0.11,13.60,122.43
0.23,9.30,41.15
0.21,0.70,3.41
0.05,14.90,308.17
0.12,16.60,133.15
0.11,11.30,100.00
0.14,11.70,84.12
0.07,2.30,31.08
0.16,2.50,16.03
0.18,2.40,13.23
0.23,10.70,46.34
0.08,2.10,25.20
0.72,3.90,5.45
0.38,11.00,28.98
1.12,3.30,2.94
0.04,10.40,246.74
0.21,1.90,9.10
0.11,10.80,94.18
0.16,15.20,92.50
0.14,29.70,220.00
0.18,2.50,13.78
0.32,10.50,32.46
0.34,1.90,5.57
0.22,9.50,43.98
0.30,3.70,12.20
0.12,11.10,93.81
1.03,3.10,3.00
0.04,21.10,555.26
0.44,4.20,9.65
0.12,24.50,211.21
0.16,11.30,71.97
0.24,7.70,32.44
0.30,26.90,88.20
1.03,6.00,5.82
2.18,2.30,1.06
0.15,11.00,73.33
0.28,2.40,8.55
0.12,9.60,78.69
1.38,1.60,1.16
0.37,2.30,6.16
0.21,1.10,5.19
0.27,3.50,12.74
0.15,5.60,36.36
0.14,8.90,61.38
0.41,5.00,12.29
0.16,0.80,5.12
0.13,1.80,13.58
0.19,5.00,25.91
0.04,4.60,106.68
0.20,0.70,3.52
0.30,9.20,30.22
0.16,4.30,26.41
0.28,5.20,18.25
0.33,3.00,9.00
0.22,1.20,5.48
0.18,6.30,34.24
0.28,3.70,13.12
0.42,7.30,17.55
0.18,15.00,85.23
0.18,12.40,70.66
0.16,9.00,57.42
0.20,9.50,48.72
0.28,1.60,5.77
0.19,3.80,20.05
0.18,3.50,19.81
0.14,1.80,12.53
0.10,15.50,155.53
0.43,2.60,6.05
0.14,6.80,47.89
0.30,2.20,7.34
0.63,15.00,23.77
0.28,3.70,13.03
0.16,7.90,49.18
0.33,11.80,35.49
0.26,0.90,3.47
0.16,25.30,160.13
0.26,1.10,4.20
0.32,1.00,3.17
0.16,12.30,75.69
0.14,7.90,55.42
0.39,1.10,2.83
0.22,5.10,22.80
0.08,8.00,106.31
0.24,1.10,4.56
0.30,9.70,32.40
0.30,4.00,13.31
0.16,6.60,41.43
0.14,1.90,13.19
0.18,7.20,40.09
0.15,2.20,14.19
0.19,26.20,135.75
0.22,1.30,5.89
0.26,4.30,16.70
0.07,4.30,60.11
0.31,12.10,38.81
0.22,1.20,5.43
0.14,3.20,23.49
0.54,7.10,13.24
0.57,14.80,25.87
0.19,3.60,18.77
0.35,4.90,13.90
0.14,2.00,14.44
0.54,0.20,0.37
0.24,11.90,49.17
0.12,22.30,184.30
0.17,21.90,129.59
0.04,1.90,50.00
0.13,3.50,26.82
0.31,6.10,19.58
0.10,1.30,13.27
0.28,9.30,33.63
0.14,7.70,53.15
0.11,5.50,51.89
0.18,13.60,73.51
0.24,9.60,39.56
0.42,3.30,7.85
0.61,1.10,1.81
0.26,1.00,3.88
0.05,14.50,273.58
0.10,3.30,33.88
0.12,1.70,14.33
0.27,10.30,38.72
0.18,13.00,70.82
0.16,3.30,20.25
0.79,10.80,13.76
0.17,28.60,168.24
0.36,6.50,18.01
0.19,3.00,15.59
0.29,1.60,5.61
0.31,12.70,41.34
0.40,4.30,10.73
0.43,4.20,9.78
0.24,7.00,28.81
1.13,1.90,1.68
0.45,1.10,2.45
0.21,9.40,44.13
2.97,5.10,1.72
0.19,11.00,57.22
0.39,6.30,16.05
0.11,18.10,166.36
0.09,29.10,323.33
0.21,3.70,17.29
0.11,16.90,151.98
0.35,2.10,6.04
0.47,12.40,26.22
4.23,4.70,1.11
0.47,9.90,20.95
0.28,3.30,11.60
0.23,3.70,16.29
1.33,3.80,2.86
0.33,16.30,49.47
0.26,7.10,27.69
0.17,9.70,58.79
1.52,2.30,1.51
0.18,11.40,62.30
0.32,24.20,74.92
0.58,4.40,7.55
0.14,3.20,22.94
0.18,27.60,150.82
0.26,9.20,35.59
0.27,0.90,3.35
0.49,9.80,19.93
0.37,20.30,54.42
0.42,4.70,11.23
0.23,13.90,60.59
0.44,7.30,16.67
0.32,21.80,67.70
0.13,20.30,159.59
0.30,2.40,8.08
0.22,1.30,5.91
0.08,15.00,184.05
0.23,14.50,62.23
0.16,11.70,73.74
0.23,1.30,5.54
0.21,12.50,58.23
0.13,5.00,37.88
1.46,4.10,2.81
0.41,10.80,26.25
0.12,3.20,27.23
0.11,22.30,197.35
0.13,8.60,68.55
1.00,3.00,3.01
0.20,14.70,74.24
0.50,1.90,3.77
0.35,6.10,17.39
0.60,6.60,10.96
1.73,2.50,1.44
0.10,18.60,185.39
0.28,7.60,27.41
1.07,3.80,3.54
0.40,1.30,3.28
0.14,2.70,19.67
0.22,2.60,11.74
0.49,5.50,11.31
0.15,11.40,76.77
0.12,24.50,213.04
1.30,3.50,2.69
0.39,11.30,29.24
0.05,0.80,15.48
0.22,14.70,66.22
0.11,6.00,53.22
0.54,7.30,13.50
0.49,7.80,16.06
0.39,10.80,27.58
2.63,0.80,0.30
0.25,2.70,10.66
0.16,20.50,131.41
0.06,9.20,152.14
0.18,3.50,19.28
0.06,10.40,181.44
0.39,20.50,53.11
0.18,27.80,154.44
0.30,0.90,3.02
0.14,1.60,11.66
0.51,3.00,5.83
0.08,1.90,22.39
0.38,5.70,14.82
0.12,7.70,61.93
0.19,33.20,174.74
0.25,0.90,3.64
0.19,11.50,60.99
0.18,12.30,66.85
0.11,32.40,289.29
0.22,6.90,32.02
0.23,4.80,21.02
0.85,2.70,3.19
0.24,4.50,19.04
0.29,3.10,10.86
0.13,12.00,89.55
0.22,22.00,100.00
0.12,24.10,192.80
0.15,1.70,11.08
0.34,2.90,8.41
0.12,3.60,30.20
0.10,21.80,227.08
0.25,2.60,10.51
0.28,0.80,2.85
0.84,3.10,3.69
0.33,23.20,69.67
0.08,1.10,13.66
1.47,2.10,1.43
0.24,1.50,6.38
0.21,14.80,70.81
0.23,6.50,28.79
0.10,17.20,175.35
0.42,10.80,25.74
0.25,7.90,31.66
0.14,14.50,104.88
0.26,8.20,31.91
3.11,2.10,0.67
0.16,13.80,88.60
0.31,5.80,18.46
1.18,2.50,2.12
0.12,6.50,53.16
0.20,0.80,3.94
0.50,10.10,20.20
0.13,4.90,36.67
0.22,5.40,24.97
0.16,8.60,54.40
0.20,3.60,17.73
0.13,0.80,6.02
0.13,3.50,27.09
0.09,25.80,283.52
1.38,4.50,3.27
0.14,2.00,14.29
0.19,14.10,72.68
0.39,5.40,13.79
0.19,2.00,10.68
0.22,4.70,21.22
0.25,7.30,29.40
0.26,13.20,50.19
0.29,1.20,4.11
0.15,1.70,11.31
0.95,4.20,4.44
0.53,1.10,2.08
0.25,1.40,5.63
0.23,14.60,64.60
2.34,0.80,0.34
0.27,4.00,14.99
2.19,0.90,0.41
0.13,6.90,52.40
0.11,8.40,74.28
0.18,1.90,10.60
0.32,0.90,2.78
0.85,6.80,8.04
0.13,3.40,25.42
0.18,4.20,22.76
0.52,7.20,13.94
0.13,6.90,52.01
0.23,14.20,61.58
0.16,9.40,60.26
0.13,17.00,132.30
0.24,1.10,4.66
0.12,10.70,89.92
0.32,23.20,72.05
0.26,14.90,58.20
0.29,7.50,25.91
0.14,8.60,62.77
0.10,3.30,32.29
0.27,9.70,36.58
0.52,9.70,18.70
0.25,2.40,9.43
0.43,1.40,3.27
0.23,14.60,63.42
0.34,12.00,35.71
0.63,20.20,32.17
0.21,0.80,3.84
0.31,9.60,30.73
0.40,2.40,6.04
0.18,33.70,182.16
0.21,6.70,32.46
0.06,9.20,142.33
0.15,1.90,12.98
0.33,12.10,36.29
0.46,3.50,7.54
0.58,8.30,14.26
0.58,1.20,2.08
0.06,8.60,140.02
0.12,7.00,59.16
0.08,10.00,128.21
2.33,1.90,0.82
0.13,2.40,19.05
0.78,16.00,20.46
0.17,8.00,46.78
0.30,12.30,40.59
0.27,6.70,24.70
0.07,24.30,373.85
0.40,5.00,12.45
0.47,13.10,27.93
0.16,1.10,7.06
0.20,1.10,5.53
1.20,5.50,4.60
0.17,18.90,111.83
0.27,22.60,82.48
0.25,2.70,10.86
0.63,2.80,4.41
0.09,17.40,187.93
0.12,1.80,15.38
0.20,5.20,26.39
0.27,4.00,14.94
0.14,5.50,39.51
0.13,4.80,36.64
0.16,0.90,5.64
0.25,7.20,28.46
0.25,24.90,100.00
2.81,2.30,0.82
0.11,17.60,166.04
0.14,8.30,59.29
1.82,2.70,1.49
0.44,1.60,3.61
0.24,13.60,56.24
0.35,2.00,5.63
0.27,1.80,6.74
0.31,5.50,17.99
0.25,9.70,39.36
0.26,12.80,49.04
0.23,8.30,36.01
0.22,2.40,10.88
1.42,3.60,2.53
0.36,2.20,6.16
0.28,2.30,8.29
0.25,6.80,27.58
0.15,27.00,183.67
0.23,2.40,10.56
0.38,1.30,3.46
1.51,3.20,2.12
0.33,0.40,1.22
1.35,2.60,1.93
0.28,6.30,22.71
0.26,13.60,52.67
0.25,2.10,8.34
0.22,14.60,65.30
0.14,3.00,20.79
0.29,1.60,5.57
0.30,4.80,15.97
0.22,14.80,66.97
0.27,1.80,6.71
0.28,1.90,6.89
0.27,2.00,7.50
0.16,20.40,125.15
0.28,2.30,8.32
0.25,13.80,55.20
0.30,3.50,11.71
0.27,3.90,14.39
0.38,6.10,15.92
0.28,6.40,22.83
0.26,1.70,6.49
0.23,2.20,9.47
0.13,9.00,68.09
0.24,2.20,9.01
0.25,1.60,6.42
0.28,6.50,23.56
0.22,2.40,11.00
0.19,1.80,9.24
0.26,2.30,8.72
0.27,2.60,9.81
0.26,2.70,10.27
0.28,3.80,13.67
0.30,4.50,14.82
0.23,1.90,8.44
0.32,12.40,38.18
0.35,1.90,5.47
0.34,5.40,15.77
0.40,10.70,26.62
0.23,2.60,11.10
0.36,1.10,3.06
0.28,6.50,22.97
0.71,7.90,11.08
0.26,1.90,7.32
0.26,1.80,6.91
0.28,4.40,15.88
0.33,2.10,6.36
0.27,4.20,15.48
0.30,2.20,7.31
0.39,1.20,3.05
0.29,5.10,17.75
0.40,3.20,7.98
0.40,1.50,3.71
0.24,1.90,7.80
0.49,3.40,6.94
0.27,4.30,15.91
0.27,13.60,51.32
0.45,9.40,21.01
0.41,3.00,7.39
0.33,1.40,4.19
0.30,3.40,11.25
0.46,2.10,4.53
0.25,2.10,8.35
0.35,1.20,3.46
0.29,5.20,17.68
0.28,2.60,9.18
0.44,10.40,23.76
0.33,12.00,36.86
0.23,1.80,7.75
0.24,2.80,11.57
0.27,1.80,6.59
0.26,2.10,8.06
0.25,1.50,5.97
0.26,2.30,9.01
3.29,1.30,0.40
0.27,5.70,21.31
0.33,12.30,37.50
0.39,2.00,5.18
1.08,3.40,3.16
0.26,1.70,6.61
0.29,5.10,17.40
0.27,2.40,8.88
0.31,2.80,9.09
2.32,1.60,0.69
0.16,7.30,44.51
0.43,0.60,1.38
0.58,1.20,2.07
0.34,2.40,7.16
0.32,6.50,20.59
0.23,14.00,60.45
2.26,2.90,1.28
0.24,1.20,5.05
0.36,1.10,3.06
0.06,9.10,141.57
0.24,17.20,72.88
0.49,5.80,11.83
0.16,2.80,17.55
0.16,12.50,77.64
0.37,2.10,5.75
0.11,1.20,11.38
1.28,3.00,2.35
0.24,12.20,50.92
0.23,4.90,21.05
0.79,2.50,3.17
0.25,23.80,95.97
0.24,8.10,34.43
0.27,8.30,30.96
0.18,7.30,39.83
0.14,0.80,5.66
0.13,10.50,83.41
0.86,16.20,18.86
0.22,7.30,33.63
0.48,8.40,17.55
0.15,15.00,96.77
1.34,3.00,2.24
0.22,15.70,70.25
0.07,25.10,380.30
0.43,8.80,20.37
0.85,6.10,7.15
0.35,6.80,19.47
0.22,1.00,4.65
0.34,5.40,15.66
0.22,0.80,3.68
0.13,6.90,51.62
2.15,7.40,3.44
0.20,0.70,3.48
0.22,1.10,5.02
0.07,4.30,62.43
0.07,3.50,50.21
3.27,1.60,0.49
0.15,10.70,71.59
0.18,7.10,40.28
0.07,19.40,279.82
0.06,8.90,144.90
0.10,3.20,31.96
0.23,23.90,105.29
0.09,28.20,320.45
0.37,2.50,6.84
0.13,3.50,26.31
0.18,11.80,65.34
0.19,4.30,22.24
0.11,5.40,48.65
0.12,6.90,60.00
0.45,2.30,5.10
0.12,16.70,143.97
0.26,8.90,34.54
0.15,13.50,89.46
1.67,0.80,0.48
0.28,21.10,74.56
0.18,3.50,19.26
0.06,7.80,124.30
0.44,8.40,19.14
0.35,2.30,6.58
0.26,4.50,17.51
0.12,27.40,232.20
0.24,12.70,53.47
0.24,0.90,3.73
0.35,11.60,32.95
0.33,4.40,13.46
0.51,6.80,13.27
0.49,3.10,6.38
0.24,1.30,5.45
2.91,1.40,0.48
0.26,1.50,5.74
0.37,5.40,14.58
0.15,10.50,71.92
0.30,2.70,9.10
0.15,12.20,78.96
0.07,23.40,339.13
0.22,25.90,117.19
0.10,3.20,31.22
0.44,10.00,22.83
0.14,20.60,152.59
0.07,8.30,117.31
0.30,1.40,4.68
0.11,1.70,15.13
0.15,6.30,41.18
0.25,12.70,50.50
0.12,1.10,9.02
0.16,5.60,35.56
0.16,5.10,30.95
1.42,3.50,2.47
0.25,2.50,9.93
0.42,6.20,14.65
0.67,2.10,3.16
0.31,11.70,37.31
0.08,30.90,367.86
0.23,1.50,6.48
0.11,14.60,138.31
0.14,5.30,38.97
0.14,4.00,27.62
0.12,34.40,286.67
0.67,7.70,11.57
0.79,1.70,2.14
0.10,4.00,39.47
0.27,11.80,43.78
0.21,0.70,3.32
0.20,8.60,43.17
0.17,7.00,42.17
0.11,26.10,233.04
0.14,15.90,112.37
0.15,6.90,47.15
0.22,6.30,28.54
0.28,12.40,43.90
0.15,1.10,7.49
0.23,2.70,11.52
0.13,29.90,223.13
0.17,20.10,117.54
0.14,1.80,12.57
0.08,35.30,452.56
0.20,4.90,24.24
0.96,3.10,3.23
0.32,4.50,13.99
1.21,4.50,3.71
0.21,8.50,39.72
0.28,3.90,13.92
0.48,7.60,15.69
0.53,3.10,5.86
0.69,15.60,22.71
0.22,0.70,3.17
0.22,14.60,65.30
0.08,13.80,168.29
0.17,2.50,14.33
0.34,23.60,69.21
0.22,1.70,7.64
1.94,1.10,0.57
0.26,19.50,76.47
0.21,2.10,10.19
0.23,14.50,62.93
0.24,2.30,9.72
0.31,14.10,44.83
0.30,11.80,39.27
0.19,10.50,54.50
0.25,10.80,42.80
0.13,15.40,117.22
0.14,6.80,46.90
0.40,5.00,12.51
0.60,1.70,2.82
0.80,1.20,1.49
0.22,2.20,9.86
0.12,1.00,8.25
0.15,1.90,12.58
0.19,5.10,26.56
0.10,2.50,24.51
0.50,4.70,9.39
0.20,32.80,167.35
0.23,13.70,59.72
0.14,1.40,9.93
0.24,3.70,15.15
0.94,4.40,4.66
0.13,6.90,52.80
1.40,4.30,3.07
0.12,6.40,52.83
1.84,8.70,4.73
0.14,4.10,28.54
0.27,2.70,9.92
0.14,17.60,124.38
0.26,4.70,18.03
0.24,13.80,56.79
0.38,5.60,14.78
0.21,1.20,5.75
0.31,6.20,20.10
0.25,1.30,5.11
1.52,2.70,1.78
0.40,1.40,3.53
0.15,2.00,13.48
0.39,22.60,58.40
0.10,21.80,218.00
0.21,1.30,6.05
0.51,6.70,13.16
0.49,12.00,24.49
0.11,15.70,137.72
0.86,6.40,7.47
0.77,16.50,21.57
0.24,24.60,102.07
0.31,0.90,2.93
0.20,22.40,113.13
0.37,8.30,22.68
0.11,19.20,181.82
0.37,3.70,10.04
0.14,1.80,13.15
0.35,2.30,6.51
0.48,0.80,1.66
0.09,23.00,265.13
0.08,4.80,56.66
0.16,12.40,76.54
0.09,1.50,17.34
0.25,0.80,3.25
2.97,2.40,0.81
0.10,19.10,182.60
0.25,1.90,7.56
0.10,3.10,30.24
0.49,4.20,8.55
0.07,4.30,60.89
0.05,5.20,108.00
0.37,1.00,2.72
0.13,7.50,55.66
0.18,12.60,69.48
0.22,21.90,100.00
0.38,14.80,39.00
0.23,10.00,42.63
0.15,12.80,84.17
0.19,2.60,13.67
0.56,13.70,24.29
0.29,8.30,28.91
0.28,14.50,52.54
0.49,6.80,13.82
0.18,8.00,44.57
1.44,2.90,2.01
0.15,6.50,42.81
0.13,11.60,90.06
0.16,7.50,46.68
0.23,12.80,55.17
0.26,1.50,5.73
0.20,10.10,50.75
0.08,17.40,226.33
0.23,1.10,4.75
0.42,5.40,12.77
0.35,17.00,48.43
0.13,14.30,107.52
0.10,24.10,253.68
0.14,3.40,25.14
1.04,3.10,2.97
0.13,8.70,65.09
0.22,14.30,63.78
1.86,2.60,1.40
0.23,1.10,4.70
0.38,6.60,17.33
0.36,1.00,2.80
0.47,3.20,6.79
0.68,1.70,2.51
0.20,7.10,34.80
0.17,11.10,63.55
0.18,6.90,38.98
0.20,1.00,4.96
0.41,10.50,25.36
0.23,1.10,4.84
0.98,2.70,2.77
0.63,12.80,20.41
